assetId,stage,baseAssetId,allowedChange,mustPreserve,qa
photo.a3.site_04.master,R0,photo.a3.site_04.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_04.master,R2,photo.a3.site_04.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_04.master,R3,photo.a3.site_04.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_04.master,R5,photo.a3.site_04.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_05.master,R0,photo.a3.site_05.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_05.master,R2,photo.a3.site_05.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_05.master,R3,photo.a3.site_05.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_05.master,R5,photo.a3.site_05.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_06.master,R0,photo.a3.site_06.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_06.master,R5,photo.a3.site_06.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_07.master,R0,photo.a3.site_07.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_07.master,R2,photo.a3.site_07.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_07.master,R3,photo.a3.site_07.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_07.master,R5,photo.a3.site_07.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_08.master,R0,photo.a3.site_08.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_08.master,R5,photo.a3.site_08.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_09.master,R0,photo.a3.site_09.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_09.master,R5,photo.a3.site_09.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_10.master,R0,photo.a3.site_10.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_10.master,R2,photo.a3.site_10.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_10.master,R3,photo.a3.site_10.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_10.master,R5,photo.a3.site_10.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_11.master,R0,photo.a3.site_11.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_11.master,R2,photo.a3.site_11.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_11.master,R3,photo.a3.site_11.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_11.master,R5,photo.a3.site_11.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_12.master,R0,photo.a3.site_12.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_12.master,R2,photo.a3.site_12.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_12.master,R3,photo.a3.site_12.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.site_12.master,R5,photo.a3.site_12.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.single,R0,photo.a3.blue_mug.single,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.single,R2,photo.a3.blue_mug.single,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.single,R3,photo.a3.blue_mug.single,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.kitchen_2019,R0,photo.a3.kitchen_2019,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.kitchen_2019,R3,photo.a3.kitchen_2019,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.kitchen_2019,R5,photo.a3.kitchen_2019,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.order_product,R0,photo.a3.blue_mug.order_product,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.xhs_crop,R0,photo.a3.blue_mug.single,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a3.blue_mug.xhs_crop,R3,photo.a3.blue_mug.single,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
audio.a3.zhoulan_blue_mug.master,R2,audio.a3.zhoulan_blue_mug.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
audio.a3.zhoulan_blue_mug.master,R3,audio.a3.zhoulan_blue_mug.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
audio.a3.pb_call,R0,audio.a3.pb_call,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a3.site_0612.master,R2,video.a3.site_0612.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a3.site_0612.master,R3,video.a3.site_0612.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a3.site_0612.master,R4,video.a3.site_0612.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_01.master,R0,photo.player.family_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_01.master,R2,photo.player.family_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_01.master,R3,photo.player.family_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_01.master,R4,photo.player.family_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_01.master,R5,photo.player.family_01.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_02.master,R0,photo.player.family_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_02.master,R2,photo.player.family_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_02.master,R3,photo.player.family_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_02.master,R4,photo.player.family_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_02.master,R5,photo.player.family_02.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_03.master,R0,photo.player.family_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_03.master,R2,photo.player.family_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_03.master,R3,photo.player.family_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_03.master,R4,photo.player.family_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.player.family_03.master,R5,photo.player.family_03.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2022,R0,photo.a4.relationship_2022,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2022,R3,photo.a4.relationship_2022,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2022,R4,photo.a4.relationship_2022,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2022,R5,photo.a4.relationship_2022,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023,R0,photo.a4.relationship_2023,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023,R3,photo.a4.relationship_2023,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023,R4,photo.a4.relationship_2023,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023,R5,photo.a4.relationship_2023,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023b,R0,photo.a4.relationship_2023b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023b,R3,photo.a4.relationship_2023b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023b,R4,photo.a4.relationship_2023b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2023b,R5,photo.a4.relationship_2023b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024,R0,photo.a4.relationship_2024,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024,R3,photo.a4.relationship_2024,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024,R4,photo.a4.relationship_2024,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024,R5,photo.a4.relationship_2024,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024b,R0,photo.a4.relationship_2024b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024b,R3,photo.a4.relationship_2024b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024b,R4,photo.a4.relationship_2024b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2024b,R5,photo.a4.relationship_2024b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025,R0,photo.a4.relationship_2025,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025,R3,photo.a4.relationship_2025,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025,R4,photo.a4.relationship_2025,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025,R5,photo.a4.relationship_2025,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025b,R0,photo.a4.relationship_2025b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025b,R3,photo.a4.relationship_2025b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025b,R4,photo.a4.relationship_2025b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2025b,R5,photo.a4.relationship_2025b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026,R0,photo.a4.relationship_2026,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026,R3,photo.a4.relationship_2026,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026,R4,photo.a4.relationship_2026,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026,R5,photo.a4.relationship_2026,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026b,R0,photo.a4.relationship_2026b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026b,R3,photo.a4.relationship_2026b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026b,R4,photo.a4.relationship_2026b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026b,R5,photo.a4.relationship_2026b,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026c,R0,photo.a4.relationship_2026c,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026c,R3,photo.a4.relationship_2026c,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026c,R4,photo.a4.relationship_2026c,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
photo.a4.relationship_2026c,R5,photo.a4.relationship_2026c,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a4.handoff_0714.master,R3,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a4.handoff_0714.master,R4,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
video.a4.handoff_0714.master,R5,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_01,R3,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_01,R4,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_01,R5,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_02,R3,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_02,R4,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_02,R5,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_03,R3,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_03,R4,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
image.a4.handoff_frame_03,R5,video.a4.handoff_0714.master,仅按Media Bible定义局部编辑,构图、焦距、光源、压缩、主体身份与sourceRoot,overlay_diff + identity_check + narrative_check
