assetId,type,sceneRefs,title,baseAssetId,variantStages,sourceRootId,characterRefs,locationRefs,objectRefs,duration,dimensions,clueRole,priority,notes,status
avatar.pb0425.r0,still,"A2-08,A4-10",PB_0425匿名头像,,"R0,R2,R4,R5",src.pb.interface,char.panbowen,,,,1024x1024,supporting,P0,不得使用清晰人脸；用旧钥匙或模糊校徽式裁切。,planned
photo.a3.site_01.master,still,"A3-02,A3-03",沈川现场相册：公交站与围墙全景,,"R0,R5",src.shen.site.01,,loc.tj.old_riverside,,,4032x3024,none,P1,,planned
photo.a3.site_02.master,still,"A3-02,A3-03",沈川现场相册：施工告示和普通路人背影,,"R0,R5",src.shen.site.02,,loc.tj.old_riverside,,,4032x3024,none,P1,,planned
photo.a3.site_03.master,still,"A3-02,A3-03",沈川现场相册：红色卷帘门正面,,"R0,R2,R3,R5",src.shen.site.03,,loc.tj.old_riverside,,,4032x3024,supporting,P1,,planned
photo.a3.site_04.master,still,"A3-02,A3-03",沈川现场相册：服务门向内开启,,"R0,R2,R3,R5",src.shen.site.04,,loc.tj.old_riverside,,,4032x3024,direct,P0,,planned
photo.a3.site_05.master,still,"A3-02,A3-03",沈川现场相册：二层五扇窗与人影,,"R0,R2,R3,R5",src.shen.site.05,char.panbowen,loc.tj.old_riverside,obj.keyring.pb,,4032x3024,direct,P0,,planned
photo.a3.site_06.master,still,"A3-02,A3-03",沈川现场相册：便利店小票压在地图上,,"R0,R5",src.shen.site.06,char.shenchuan,loc.tj.old_riverside,,,4032x3024,none,P1,,planned
photo.a3.site_07.master,still,"A3-02,A3-03",沈川现场相册：墙面斜裂缝特写,,"R0,R2,R3,R5",src.shen.site.07,,loc.tj.old_riverside,,,4032x3024,supporting,P1,,planned
photo.a3.site_08.master,still,"A3-02,A3-03",沈川现场相册：过曝天空和树冠,,"R0,R5",src.shen.site.08,,loc.tj.old_riverside,,,4032x3024,none,P1,,planned
photo.a3.site_09.master,still,"A3-02,A3-03",沈川现场相册：路边猫与墙脚,,"R0,R5",src.shen.site.09,,loc.tj.old_riverside,,,4032x3024,none,P1,,planned
photo.a3.site_10.master,still,"A3-02,A3-03",沈川现场相册：公交站编号近景,,"R0,R2,R3,R5",src.shen.site.10,,loc.tj.old_riverside,,,4032x3024,supporting,P1,,planned
photo.a3.site_11.master,still,"A3-02,A3-03",沈川现场相册：玻璃反射中的第二设备,,"R0,R2,R3,R5",src.shen.site.11,char.shenchuan,loc.tj.old_riverside,,,4032x3024,supporting,P1,,planned
photo.a3.site_12.master,still,"A3-02,A3-03",沈川现场相册：夜间封口与第四道门轮廓,,"R0,R2,R3,R5",src.shen.site.12,,loc.tj.old_riverside,,,4032x3024,direct,P0,,planned
photo.a3.blue_mug.single,still,A3-07,蓝杯单物件盲证照片,,"R0,R2,R3",src.blue_mug.object,,loc.hz.shen_apartment,obj.blue_mug,,3024x4032,direct,P0,,planned
photo.a3.kitchen_2019,still,A3-07,2019厨房照：沈川左手虎口旧疤,,"R0,R3,R5",src.zhoulan.family.photo,"char.shenchuan,char.zhoulan",loc.zhoulan.kitchen,obj.blue_mug,,4032x3024,direct,P0,,planned
photo.a3.blue_mug.order_product,still,A3-07,蓝杯淘宝订单商品图,,R0,src.commerce.order,,,obj.blue_mug,,1600x1600,supporting,P1,,planned
photo.a3.blue_mug.xhs_crop,still,A3-07,小红书十年蓝杯帖子裁切,photo.a3.blue_mug.single,"R0,R3",src.blue_mug.object,,,obj.blue_mug,,1080x1440,supporting,P1,,planned
audio.a3.zhoulan_blue_mug.master,audio,A3-07,周岚蓝杯语音R2母版,,"R2,R3",src.zhoulan.voice,char.zhoulan,loc.zhoulan.kitchen,obj.blue_mug,18.2s,,direct,P0,,planned
audio.a3.pb_call,audio,A3-05,未知来电：钥匙、两组脚步、羽毛球,,R0,src.pb.call,char.panbowen,loc.tj.corridor,"obj.keyring.pb,obj.ball.badminton",8.0s,,direct,P0,,planned
video.a3.site_0612.master,video,A3-10,沈川现场短视频,,"R2,R3,R4",src.shen.site.video,"char.shenchuan,char.player",loc.tj.old_riverside,obj.wriststrap.player,26.4s Cfr30,1920x1080,direct,P0,,planned
photo.player.family_01.master,still,"P00,A3-09,A4-09,A5",生日餐桌合照,,"R0,R2,R3,R4,R5",src.player.family.01,char.player,loc.player.home,,,4032x3024,supporting,P1,,planned
photo.player.family_02.master,still,"P00,A3-09,A4-09,A5",家庭门口出发照,,"R0,R2,R3,R4,R5",src.player.family.02,char.player,loc.player.home,,,4032x3024,none,P1,,planned
photo.player.family_03.master,still,"P00,A3-09,A4-09,A5",厨房饭菜照,,"R0,R2,R3,R4,R5",src.player.family.03,char.player,loc.player.home,,,4032x3024,none,P1,,planned
photo.a4.relationship_2022,still,"A4-02,A4-03",ARG社群线上活动屏幕合照,,"R0,R3,R4,R5",src.relationship.2022,"char.shenchuan,char.player",loc.hz.shen_apartment,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2023,still,"A4-02,A4-03",首次线下咖啡店半身照,,"R0,R3,R4,R5",src.relationship.2023,"char.shenchuan,char.player",loc.hz.coffee_230917,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2023b,still,"A4-02,A4-03",密室活动票与双人背影,,"R0,R3,R4,R5",src.relationship.2023b,"char.shenchuan,char.player",loc.hz.coffee_230917,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2024,still,"A4-02,A4-03",桥下书店合照,,"R0,R3,R4,R5",src.relationship.2024,"char.shenchuan,char.player",loc.hz.bridge_bookstore,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2024b,still,"A4-02,A4-03",雨天城市散步,,"R0,R3,R4,R5",src.relationship.2024b,"char.shenchuan,char.player",loc.hz.bridge_bookstore,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2025,still,"A4-02,A4-03",文件整理桌面与两双手,,"R0,R3,R4,R5",src.relationship.2025,"char.shenchuan,char.player",loc.hz.shen_apartment,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2025b,still,"A4-02,A4-03",小红书普通生活合照,,"R0,R3,R4,R5",src.relationship.2025b,"char.shenchuan,char.player",loc.hz.shen_apartment,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2026,still,"A4-02,A4-03",天津酒店出发前,,"R0,R3,R4,R5",src.relationship.2026,"char.shenchuan,char.player",loc.tj.hotel,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2026b,still,"A4-02,A4-03",两部手机并排充电,,"R0,R3,R4,R5",src.relationship.2026b,"char.shenchuan,char.player",loc.tj.hotel,,,4032x3024,supporting,P1,,planned
photo.a4.relationship_2026c,still,"A4-02,A4-03",旧园区入口前背影,,"R0,R3,R4,R5",src.relationship.2026c,"char.shenchuan,char.player",loc.tj.hotel,,,4032x3024,supporting,P1,,planned
video.a4.handoff_0714.master,video,"A4-05,A4-06",2026-07-14手机交付视频,,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen","loc.tj.old_riverside,loc.tj.corridor","obj.phone.investigation,obj.phone.player,obj.wriststrap.player,obj.keyring.pb",61.2s Cfr30,1920x1080,direct,P0,,planned
image.a4.handoff_frame_01,still,"A4-05,A4-06",沈川确认日期,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,supporting,P0,,planned
image.a4.handoff_frame_02,still,"A4-05,A4-06",飞行模式与关闭同步,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,supporting,P0,,planned
image.a4.handoff_frame_03,still,"A4-05,A4-06",手机递向镜头,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,direct,P0,,planned
image.a4.handoff_frame_04,still,"A4-05,A4-06",玩家袖口与腕带,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,direct,P0,,planned
image.a4.handoff_frame_05,still,"A4-05,A4-06",第四道门,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,supporting,P0,,planned
image.a4.handoff_frame_06,still,"A4-05,A4-06",潘博文反向走出,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,direct,P0,,planned
image.a4.handoff_frame_07,still,"A4-05,A4-06",手机落地,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,supporting,P0,,planned
image.a4.handoff_frame_08,still,"A4-05,A4-06",最终黑屏前钥匙反光,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,"obj.wriststrap.player,obj.keyring.pb",,1920x1080,supporting,P0,,planned
image.a4.player_reflection,still,A4-06,反光高分辨率裁切：保护壳与腕带,video.a4.handoff_0714.master,"R3,R4",src.handoff.0714,char.player,,"obj.phone.player,obj.wriststrap.player",,2048x2048,direct,P0,,planned
audio.a4.handoff_dialogue,audio,A4-05,交付视频独立音轨,video.a4.handoff_0714.master,"R3,R4,R5",src.handoff.0714,"char.shenchuan,char.player,char.panbowen",loc.tj.corridor,obj.keyring.pb,61.2s,,direct,P0,,planned
audio.a4.axu_player_name,audio,"A4-09,A5-04",阿序叫出玩家代号的旧语音,,R0,src.axu.voice,"char.axu,char.player",,,7.2s,,direct,P0,,planned
audio.a5.shen_unlabeled,audio,A5-04,未标姓名的沈川语音,,R0,src.shen.voice.external,char.shenchuan,,,11.6s,,direct,P0,,planned
scan.a5.birth_booklet_01,scan,A5-05,沈川出生手册封面与姓名页,,R0,src.zhoulan.paper,"char.shenchuan,char.zhoulan",loc.zhoulan.kitchen,obj.birth_booklet,,3000x4000,direct,P0,,planned
scan.a5.birth_booklet_02,scan,A5-05,入学搬家清单与家庭笔迹,,R0,src.zhoulan.paper,"char.shenchuan,char.zhoulan",loc.zhoulan.kitchen,obj.birth_booklet,,3000x4000,direct,P0,,planned
photo.a5.university_unnamed,still,A5-06,活动摄影原片：沈川面孔，无姓名,,R0,src.event.photographer,char.shenchuan,,,,6000x4000,direct,P0,,planned
photo.a5.key_unowned_current,still,A5-07,普通木桌上的无主钥匙,,R0,src.ending.key,,,obj.keyring.pb,,3024x4032,supporting,P0,,planned
audio.a5.ending_no_number,audio,A5-07,无号码结局余波,,R0,src.ending.audio,"char.shenchuan,char.panbowen",,"obj.keyring.pb,obj.ball.badminton",6.4s,,supporting,P0,,planned
group.daily.shen_01,still_group,P00-A4,沈川普通生活：雨后城市散步,,R0,src.daily.shen.01,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_02,still_group,P00-A4,沈川普通生活：桥下咖啡,,R0,src.daily.shen.02,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_03,still_group,P00-A4,沈川普通生活：公司楼下猫,,R0,src.daily.shen.03,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_04,still_group,P00-A4,沈川普通生活：用户访谈便签,,R0,src.daily.shen.04,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_05,still_group,P00-A4,沈川普通生活：标签纸与硬盘,,R0,src.daily.shen.05,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_06,still_group,P00-A4,沈川普通生活：通勤车窗,,R0,src.daily.shen.06,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_07,still_group,P00-A4,沈川普通生活：酒店早餐,,R0,src.daily.shen.07,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_08,still_group,P00-A4,沈川普通生活：便利店夜宵,,R0,src.daily.shen.08,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_09,still_group,P00-A4,沈川普通生活：书架与旧刊,,R0,src.daily.shen.09,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_10,still_group,P00-A4,沈川普通生活：周末洗衣,,R0,src.daily.shen.10,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_11,still_group,P00-A4,沈川普通生活：地铁站台,,R0,src.daily.shen.11,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_12,still_group,P00-A4,沈川普通生活：外卖双人餐具,,R0,src.daily.shen.12,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_13,still_group,P00-A4,沈川普通生活：母亲寄来的药,,R0,src.daily.shen.13,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_14,still_group,P00-A4,沈川普通生活：咖啡小票,,R0,src.daily.shen.14,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_15,still_group,P00-A4,沈川普通生活：工作会议室,,R0,src.daily.shen.15,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_16,still_group,P00-A4,沈川普通生活：旧相机,,R0,src.daily.shen.16,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_17,still_group,P00-A4,沈川普通生活：雨伞靠墙,,R0,src.daily.shen.17,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_18,still_group,P00-A4,沈川普通生活：电影票根,,R0,src.daily.shen.18,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_19,still_group,P00-A4,沈川普通生活：猫咖短视频封面,,R0,src.daily.shen.19,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_20,still_group,P00-A4,沈川普通生活：河边路灯,,R0,src.daily.shen.20,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_21,still_group,P00-A4,沈川普通生活：朋友群聚餐,,R0,src.daily.shen.21,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_22,still_group,P00-A4,沈川普通生活：文件夹命名截图,,R0,src.daily.shen.22,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_23,still_group,P00-A4,沈川普通生活：桌面充电线,,R0,src.daily.shen.23,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.shen_24,still_group,P00-A4,沈川普通生活：蓝杯十年记录,,R0,src.daily.shen.24,char.shenchuan,"loc.hz.shen_apartment,loc.hz.office,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,每组1—3张；必须承担人物、关系或城市生活功能。,planned
group.daily.player_01,still_group,P00-A5,玩家普通生活：家庭饭菜,,R0,src.daily.player.01,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_02,still_group,P00-A5,玩家普通生活：父亲天气截图配图,,R0,src.daily.player.02,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_03,still_group,P00-A5,玩家普通生活：与阿序旅行,,R0,src.daily.player.03,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_04,still_group,P00-A5,玩家普通生活：充电器梗图,,R0,src.daily.player.04,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_05,still_group,P00-A5,玩家普通生活：生日合照,,R0,src.daily.player.05,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_06,still_group,P00-A5,玩家普通生活：家门口,,R0,src.daily.player.06,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_07,still_group,P00-A5,玩家普通生活：通勤咖啡,,R0,src.daily.player.07,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_08,still_group,P00-A5,玩家普通生活：酒店窗景,,R0,src.daily.player.08,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_09,still_group,P00-A5,玩家普通生活：群聊表情包,,R0,src.daily.player.09,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_10,still_group,P00-A5,玩家普通生活：游戏截图,,R0,src.daily.player.10,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_11,still_group,P00-A5,玩家普通生活：周末书店,,R0,src.daily.player.11,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
group.daily.player_12,still_group,P00-A5,玩家普通生活：薯条与汽水,,R0,src.daily.player.12,"char.player,char.axu","loc.player.home,loc.tj.hotel,loc.hz.bridge_bookstore",,,多尺寸母版,none,P2,必须支持R0—R5归属与构图修正。,planned
audio.daily.01,audio,P00-A5,普通语音：周岚提醒吃药,,R0,src.audio.daily.01,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.02,audio,P00-A5,普通语音：陈屿借充电线,,R0,src.audio.daily.02,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.03,audio,P00-A5,普通语音：沈川每日验证07,,R0,src.audio.daily.03,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,supporting,P2,,planned
audio.daily.04,audio,P00-A5,普通语音：沈川工作语音,,R0,src.audio.daily.04,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.05,audio,P00-A5,普通语音：阿序薯条玩笑,,R0,src.audio.daily.05,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.06,audio,P00-A5,普通语音：玩家父亲天气提醒,,R0,src.audio.daily.06,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.07,audio,P00-A5,普通语音：酒店出发确认,,R0,src.audio.daily.07,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,none,P2,,planned
audio.daily.08,audio,P00-A5,普通语音：沈川与陈屿大学旧语音,,R0,src.audio.daily.08,"char.shenchuan,char.chenyu,char.zhoulan,char.axu,char.player",,,6—24s,,supporting,P2,,planned
video.daily.01,video,P00-A4,普通短视频：猫咖短视频,,R0,src.video.daily.01,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
video.daily.02,video,P00-A4,普通短视频：雨后步道,,R0,src.video.daily.02,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
video.daily.03,video,P00-A4,普通短视频：咖啡拉花失败,,R0,src.video.daily.03,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
video.daily.04,video,P00-A4,普通短视频：酒店窗外,,R0,src.video.daily.04,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
video.daily.05,video,P00-A4,普通短视频：出发前整理硬盘,,R0,src.video.daily.05,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
video.daily.06,video,P00-A4,普通短视频：玩家与阿序旅行片段,,R0,src.video.daily.06,"char.shenchuan,char.player,char.axu","loc.hz.bridge_bookstore,loc.tj.hotel,loc.hz.shen_apartment",,6—12s,1080x1920/1920x1080,none,P2,,planned
