app,state,coverage,refs
网易云音乐,歌词,derived_real,
网易云音乐,播放历史,system_inherited,
网易云音乐,下载,derived_real,
微信读书,书架,direct_real,WEREAD102-BOOK-01
微信读书,发现,direct_real,WEREAD102-DISC-01
微信读书,阅读器,direct_real,WEREAD102-READ-01
微信读书,目录/进度,derived_real,
微信读书,划线批注,derived_real,
微信读书,笔记,derived_real,
微信读书,个人主页,direct_real,WEREAD102-PROFILE-01
微信读书,阅读历史,system_inherited,
健康,摘要,direct_real,HEALTH26-SUM-01
健康,浏览健康数据,derived_real,
健康,步数详情,system_inherited,
健康,用药,direct_real,HEALTH26-MED-01
健康,趋势,derived_real,
健康,活动记录,derived_real,
天气,主天气页,direct_real,WEATHER26-MAIN-01
天气,小时预报,derived_real,
天气,十日预报,derived_real,
天气,地点列表,system_inherited,
天气,天气地图,derived_real,
天气,风场,direct_real,WEATHER26-WIND-01
时钟,世界时钟,derived_real,
时钟,闹钟,direct_real,IOS26-CLOCK-01
时钟,秒表,derived_real,
时钟,计时器,derived_real,
时钟,新增/编辑闹钟,derived_real,
计算器,基础计算,derived_real,
计算器,科学计算,direct_real,CALC26-SCI-01
计算器,换算,direct_real,CALC26-CONV-01
计算器,历史,system_inherited,
相机,照片模式,derived_real,
相机,视频模式,derived_real,
相机,变焦/曝光,derived_real,
相机,相册入口,derived_real,
相机,权限拒绝,system_inherited,
相机,拍摄反馈,derived_real,
语音备忘录,录音列表,system_inherited,
语音备忘录,录制中,direct_real,VM26-REC-01
语音备忘录,播放详情,system_inherited,
语音备忘录,重命名,derived_real,
语音备忘录,删除,derived_real,
语音备忘录,转写,derived_real,
铁路12306,首页查询,derived_real,
铁路12306,车次列表,system_inherited,
铁路12306,订单列表,direct_real,RAIL596-ORDER-01
铁路12306,订单详情,system_inherited,
铁路12306,历史订单,direct_real,RAIL596-HISTORY-01
铁路12306,行程详情,direct_real,RAIL596-TRIP-01
铁路12306,车站大屏,direct_real,RAIL596-BOARD-01
铁路12306,无障碍模式,derived_real,
指南针,指南针主界面,direct_real,COMP26-MAIN-01
指南针,经纬度显示,derived_real,
指南针,水平仪/方向锁定,derived_real,
